"Date","Price","Open","High","Low","Vol.","Change %"
1/1/2012,58.040001,47.689999,58.25,47.540001,10889846,21.70%
2/1/2012,59.279999,58.099998,61.34,56.689999,8535762,2.03%
3/1/2012,64.339996,59.68,67.489998,58.400002,9788881,7.81%
4/1/2012,64.089996,64.699997,66.069397,60.849998,6204423,-0.94%
5/1/2012,59.66,63.93,65.230003,57.25,6214970,-6.68%
6/1/2012,58.720001,57.990002,58.82,54.119999,13356374,1.26%
7/1/2012,57.810001,58.689999,60.18,55.950001,5148717,-1.50%
8/1/2012,57.990002,58,59.369999,55.09,5704987,-0.02%
9/1/2012,60.459999,57.990002,62.849998,57.580002,5244035,4.26%
10/1/2012,56.59,60.580002,62.490002,55.27,4871364,-6.59%
11/1/2012,55.220001,56.720001,58.66,52.400002,5182694,-2.64%
12/1/2012,55.970001,55.5,57.25,53.48,4655050,0.85%
1/1/2013,66.370003,55.970001,66.620003,55.970001,6621585,18.58%
2/1/2013,67.059998,66.400002,68.5,65.445,6333536,0.99%
3/1/2013,70.940002,66.559998,71.150002,65.730003,4485200,6.58%
4/1/2013,71.110001,70.889999,71.514999,65.589996,5056033,0.31%
5/1/2013,77.389999,70.519997,78.529999,69.07,3697188,9.74%
6/1/2013,83.32,77.610001,83.910004,74.059998,6443563,7.36%
7/1/2013,87.234001,83.800003,91.459999,83.5,7514609,4.10%
8/1/2013,82.800003,88.220001,89.970001,82.279999,3914851,-6.14%
9/1/2013,86.370003,82.800003,86.75,79.540001,5502769,4.31%
10/1/2013,95.779999,86.120003,100,86.059998,6871753,11.22%
11/1/2013,101.239998,95.68,102.68,94.529999,3867648,5.81%
12/1/2013,104.860001,101,106.989998,97,5049378,3.82%
1/1/2014,112.230003,104.860001,121.919998,101.650002,7453825,7.03%
2/1/2014,125.910004,112.629997,128.130005,106.519997,5849902,11.79%
3/1/2014,128.779999,124.849998,134.998993,121.889999,8187668,3.15%
4/1/2014,106.690002,128.949997,130.169998,105.300003,9924459,-17.26%
5/1/2014,105.449997,106.720001,109.809998,100.300003,16975004,-1.19%
6/1/2014,116.620003,105.669998,120.07,103.800003,9962198,10.36%
7/1/2014,109.019997,117.25,119.160004,108.199997,8137159,-7.02%
8/1/2014,111.32,108.720001,111.879997,102.360001,6985406,2.39%
9/1/2014,112.089996,111.32,117.370003,109.940002,7272410,0.69%
10/1/2014,111.989998,111.489998,112.43,91.540001,11699506,0.45%
11/1/2014,105.150002,110.940002,115,104.949997,4780463,-5.22%
12/1/2014,116.07,103.980003,118.720001,100.540001,8963268,11.63%
1/1/2015,112.900002,116.07,118.595001,102.767998,8630010,-2.73%
2/1/2015,122.900002,113.870003,127.218002,112.160004,7824875,7.93%
3/1/2015,127.040001,123.07,128.850006,120.019997,8103933,3.23%
4/1/2015,132.759995,126.403999,135,122.629997,7041628,5.03%
5/1/2015,134.910004,132.537994,137.119995,128.410004,5858074,1.79%
6/1/2015,143.979996,134.164001,149.619995,132.690002,7878202,7.32%
7/1/2015,143.100006,148.929993,152.989899,136.910004,8732021,-3.91%
8/1/2015,125.080002,143.059998,149.669998,100.760002,12145469,-12.57%
9/1/2015,115.540001,121.730003,129.399994,112.550003,9127642,-5.09%
10/1/2015,122.07,115.290001,129.350006,108.010002,13053806,5.88%
11/1/2015,132.479996,123.290001,141.75,122.080002,8937403,7.45%
12/1/2015,118.900002,133.240005,134.429993,117.260002,13442182,-10.76%
1/1/2016,101.32,118.900002,118.900002,92.970001,20115323,-14.79%
2/1/2016,88.849998,101.239998,103.730003,77.871002,18169149,-12.24%
3/1/2016,102.050003,89.300003,104.650002,88.195,15512471,14.28%
4/1/2016,104.279999,101.029999,115.929901,96.339996,14352050,3.22%
5/1/2016,110.199997,104.080002,110.879997,91.370003,12975495,5.88%
6/1/2016,95.160004,108.040001,110.970001,82.900002,16279777,-11.92%
7/1/2016,100.419998,94.230003,105.260002,87.279999,11230507,6.57%
8/1/2016,111.059998,100.769997,112.419998,96.864998,9328496,10.21%
9/1/2016,110.540001,110.989998,112.830002,103.120003,8718997,-0.41%
10/1/2016,122.269997,109.610001,128.5,108.934998,12431590,11.55%
11/1/2016,158.029999,121.75,159.899994,116.591003,13043953,29.80%
12/1/2016,171.660004,158.179993,175.740005,158.179993,10095439,8.52%
1/1/2017,172.229996,171.660004,180.479996,165.050003,10857032,0.33%
2/1/2017,190.889999,174.509995,191.960007,169.470001,8397612,9.39%
3/1/2017,186.089996,196.940002,198.830002,170,14281739,-5.51%
4/1/2017,175.940002,187.110001,194.869995,173.000107,9496510,-5.97%
5/1/2017,170.5,176.929993,187,166.440002,14284535,-3.63%
6/1/2017,175.789993,172.470001,185.25,165.080002,11173696,1.92%
7/1/2017,178.440002,177.169998,186.190002,172,9324557,0.72%
